doc_id,page_no,table_id,bbox,caption,header_rows,source,engine,engine_version,confidence,source_sha256
Beccaro_Luca,6,Beccaro_Luca_p6_t2,,Table context extracted from document structure,1,vector,partition_pdf,<module 'unstructured.__version__' from 'C:\\Users\\admin\\PycharmProjects\\Nexus_PdfExtraction\\PDF-Extraction-Tool\\myvenv\\Lib\\site-packages\\unstructured\\__version__.py'>,,ae4c29b6e1b577564c4894f64821fbc918f167089bff31b9ea8cd2a17d347f84
Beccaro_Luca,10,Beccaro_Luca_p10_t3,,Table context extracted from document structure,1,vector,partition_pdf,<module 'unstructured.__version__' from 'C:\\Users\\admin\\PycharmProjects\\Nexus_PdfExtraction\\PDF-Extraction-Tool\\myvenv\\Lib\\site-packages\\unstructured\\__version__.py'>,,ae4c29b6e1b577564c4894f64821fbc918f167089bff31b9ea8cd2a17d347f84
Beccaro_Luca,30,Beccaro_Luca_p30_t4,,Table context extracted from document structure,1,vector,partition_pdf,<module 'unstructured.__version__' from 'C:\\Users\\admin\\PycharmProjects\\Nexus_PdfExtraction\\PDF-Extraction-Tool\\myvenv\\Lib\\site-packages\\unstructured\\__version__.py'>,,ae4c29b6e1b577564c4894f64821fbc918f167089bff31b9ea8cd2a17d347f84
Beccaro_Luca,39,Beccaro_Luca_p39_t5,,Table context extracted from document structure,1,vector,partition_pdf,<module 'unstructured.__version__' from 'C:\\Users\\admin\\PycharmProjects\\Nexus_PdfExtraction\\PDF-Extraction-Tool\\myvenv\\Lib\\site-packages\\unstructured\\__version__.py'>,,ae4c29b6e1b577564c4894f64821fbc918f167089bff31b9ea8cd2a17d347f84
Beccaro_Luca,40,Beccaro_Luca_p40_t6,,Table context extracted from document structure,1,vector,partition_pdf,<module 'unstructured.__version__' from 'C:\\Users\\admin\\PycharmProjects\\Nexus_PdfExtraction\\PDF-Extraction-Tool\\myvenv\\Lib\\site-packages\\unstructured\\__version__.py'>,,ae4c29b6e1b577564c4894f64821fbc918f167089bff31b9ea8cd2a17d347f84
Beccaro_Luca,42,Beccaro_Luca_p42_t7,,Table context extracted from document structure,1,vector,partition_pdf,<module 'unstructured.__version__' from 'C:\\Users\\admin\\PycharmProjects\\Nexus_PdfExtraction\\PDF-Extraction-Tool\\myvenv\\Lib\\site-packages\\unstructured\\__version__.py'>,,ae4c29b6e1b577564c4894f64821fbc918f167089bff31b9ea8cd2a17d347f84
Beccaro_Luca,44,Beccaro_Luca_p44_t8,,Table context extracted from document structure,1,vector,partition_pdf,<module 'unstructured.__version__' from 'C:\\Users\\admin\\PycharmProjects\\Nexus_PdfExtraction\\PDF-Extraction-Tool\\myvenv\\Lib\\site-packages\\unstructured\\__version__.py'>,,ae4c29b6e1b577564c4894f64821fbc918f167089bff31b9ea8cd2a17d347f84
Beccaro_Luca,45,Beccaro_Luca_p45_t9,,Table context extracted from document structure,1,vector,partition_pdf,<module 'unstructured.__version__' from 'C:\\Users\\admin\\PycharmProjects\\Nexus_PdfExtraction\\PDF-Extraction-Tool\\myvenv\\Lib\\site-packages\\unstructured\\__version__.py'>,,ae4c29b6e1b577564c4894f64821fbc918f167089bff31b9ea8cd2a17d347f84
Beccaro_Luca,46,Beccaro_Luca_p46_t10,,Table context extracted from document structure,1,vector,partition_pdf,<module 'unstructured.__version__' from 'C:\\Users\\admin\\PycharmProjects\\Nexus_PdfExtraction\\PDF-Extraction-Tool\\myvenv\\Lib\\site-packages\\unstructured\\__version__.py'>,,ae4c29b6e1b577564c4894f64821fbc918f167089bff31b9ea8cd2a17d347f84
Beccaro_Luca,46,Beccaro_Luca_p46_t11,,Table context extracted from document structure,1,vector,partition_pdf,<module 'unstructured.__version__' from 'C:\\Users\\admin\\PycharmProjects\\Nexus_PdfExtraction\\PDF-Extraction-Tool\\myvenv\\Lib\\site-packages\\unstructured\\__version__.py'>,,ae4c29b6e1b577564c4894f64821fbc918f167089bff31b9ea8cd2a17d347f84
