. Material,Dataset ID,Specific roll force [KN/cm],Roll gap [mm],Solid fraction [-]
,,2.0,"2 ,",0.704
,,3.0,2,0.737
,,4.0,2,0.783
,,1.5,2,0.686
,,1.0,2,0.655
,,2.0,2,0.73
,,2.5,2,0.739
,,3.0,2,0.689
,,2.0,2,0.768
,,3.0,2,0.731
,,4.5,2,0.788
Compound C,RC-CC,3.5,2,0.789
Compound C,,2.5,2,0.742
Compound C,,1.5,2,0.676
Compound C,,3.8,2,0.78
Compound C,,3.5,2,0.764
Compound C,,4.0,2,0.849
Compound C,,3.8,2,0.824
Compound C,,4.5,3,0.755
Compound C,,3.8,2,0.763
Compound C,,4.5,2,0.859
Compound C,,4.5,2,0.854
