Material,Dataset ID,Pressure [MPa],Solid fraction [-]
,,26.061,0.647
,,27.074,0.645
,,31.013,0.662
,,30.397,0.647
,,27.208,0.649
,,25.752,0.634
,,28.245,0.643
,,29.360,0.649
,,30.912,0.641
,,30.619,0.650
,,31.685,0.646
,,30.432,0.642
,,31.677,0.636
,,31.893,0.634
,,33.232,0.658
,,25.080,0.633
Compound A,CS21-CA,30.301,0.646
,,26.216 30.965,0.639 0.650
,,27.464,0.643
,,29.349,0.643
,,25.194,0.623
,,30.131,0.646
,,31.163,0.643
,,32.710,0.650
,,34.915,0.658
,,35.123,0.657
,,65.040,0.748
,,56.040,0.731
,,67.670,0.748
,,61.101,0.743
,,63.163,0.753
