Material,Dataset ID,Run no.,Specific roll force [KN/em],Roll gap [mm],Solid fraction [-]
,,1.0,3.0,2.0,0.564
,,1.0,3.0,2.0,0.566
,,1.0,3.0,2.0,0.564
,,2.0,6.0,2.0,0.661
,,2.0,6.0,2.0,0.701
,,2.0,6.0,2.0,0.669
,,3.0,9.0,,0.753
,,3.0,9.0,2.0,0.734
,,3.0,9.0,,0.748
Formulation 3,,4.0,12.0,2.0,0.856
Formulation 3,,4.0,12.0,2.0,0.852
Formulation 3,,4.0,12.0,2.0,0.827
Formulation 3,,5.0,4.2,4.0,0.556 0.559
Formulation 3,,5.0,4.2,4.0,0.555
Formulation 3,,,8.5,4.0,0.721
Formulation 3,,6.0,8.5,4.0,0.718
Formulation 3,,,8.5,4.0,0.719
Formulation 3,,7.0,8.5,4.0,0.527
Formulation 3,,7.0,3.0,4.0,0.523
Formulation 3,,7.0,3.0,4.0,0.524
Formulation 3,,7.0,3.0,4.0,0.646
