. Material,Dataset ID,Run no.,Specific roll force [KN/em],Roll gap [mm],Solid fraction [-]
,,1.0,3.0,2.0,0.559
,,1.0,3.0,2.0,0.572
,,1.0,3.0,2.0,0.587
,,2.0,6.0,2.0,0.672
,,2.0,6.0,2.0,0.672
,,3.0,9.0,2.0,0.738
,,3.0,9.0,2.0,0.737
,,3.0,9.0,2.0,0.753
Formulation 4,,4.0,12.0,2.0,0.794
Formulation 4,,4.0,12.0,2.0,0.752
Formulation 4,,4.0,12.0,2.0,0.811
Formulation 4,RC-F4,5.0,4.2,,0.545
Formulation 4,,5.0,4.2,4.0,0.558
Formulation 4,,5.0,4.2,,0.566
Formulation 4,,,8.5,4.0,0.680
Formulation 4,,6.0,8.5,4.0,0.698
Formulation 4,,,8.5,4.0,0.689
Formulation 4,,7.0,3.0,4.0,0.515
Formulation 4,,7.0,3.0,4.0,0.526
Formulation 4,,7.0,3.0,4.0,0.515
Formulation 4,,,,,0.630
Formulation 4,,8.0,6.0,4.0,0.632 nN
